企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
曲靖市麒麟区代河建筑安装工程公司,91530300217234801Y,1981-01-01,N/A,刘吉平,"2,260(万元人民币)","建筑工程施工总承包；防水防腐保温工程专业承包；建筑装修装饰工程专业承包；市政公用工程施工总承包；起重设备安装工程专业承包；建材销售；房屋租赁。兼营范围：",云南,曲靖,"曲靖市南宁北路"
云南建投第六建设有限公司,91530000216521374P,1981-06-18,N/A,金科,"15,861.4721(万元人民币)","工业与民用建设项目的建筑施工及水电暖通设备安装；市政公用工程、建筑装修装饰工程的施工；起重设备安装工程的安装与拆卸；建筑用金属构件与水泥预制构件制作、安装及销售；房地产开发与销售；建筑用周转材料及设备租赁。",云南,玉溪,"云南省玉溪市红塔区玉带街道办事处万和家园翠园商业4-1号"
